,Month,Sales
0,2011-05-31,2024.994
1,2011-05-31,6074.982
2,2011-05-31,2024.994
3,2011-05-31,2039.994
4,2011-05-31,2039.994
5,2011-05-31,4079.988
6,2011-05-31,2039.994
7,2011-05-31,86.5212
8,2011-05-31,28.8404
9,2011-05-31,34.2
10,2011-05-31,10.373
11,2011-05-31,80.746
12,2011-05-31,419.4589
13,2011-05-31,874.794
14,2011-05-31,809.76
15,2011-05-31,714.7043
16,2011-05-31,1429.4086
17,2011-05-31,20.746
18,2011-05-31,115.3616
19,2011-05-31,1445.1898
20,2011-05-31,6074.982
21,2011-05-31,4049.988
22,2011-05-31,40.373
23,2011-05-31,1637.4
24,2011-05-31,8099.976
25,2011-05-31,4079.988
26,2011-05-31,57.6808
27,2011-05-31,4049.988
28,2011-05-31,100.9325
29,2011-05-31,1258.3767
30,2011-05-31,2097.2945
31,2011-05-31,367.8764
32,2011-05-31,3499.176
33,2011-05-31,551.8146
34,2011-05-31,2097.2945
35,2011-05-31,1258.3767
36,2011-05-31,838.9178
37,2011-05-31,2146.962
38,2011-05-31,874.794
39,2011-05-31,1258.3767
40,2011-05-31,356.898
41,2011-05-31,5248.764
42,2011-05-31,183.9382
43,2011-05-31,535.7424
44,2011-05-31,2146.962
45,2011-05-31,1258.3767
46,2011-05-31,183.9382
47,2011-05-31,356.898
48,2011-05-31,178.5808
49,2011-05-31,1258.3767
50,2011-05-31,874.794
51,2011-05-31,419.4589
52,2011-05-31,2039.994
53,2011-05-31,8099.976
54,2011-05-31,28.8404
55,2011-05-31,28.8404
56,2011-05-31,4049.988
57,2011-05-31,6119.982
58,2011-05-31,2039.994
59,2011-05-31,2024.994
60,2011-05-31,40.373
61,2011-05-31,2039.994
62,2011-05-31,20.1865
63,2011-05-31,57.6808
64,2011-05-31,4049.988
65,2011-05-31,10.373
66,2011-05-31,4049.988
67,2011-05-31,2024.994
68,2011-05-31,34.2
69,2011-05-31,2024.994
70,2011-05-31,419.4589
71,2011-05-31,2146.962
72,2011-05-31,356.898
73,2011-05-31,874.794
74,2011-05-31,838.9178
75,2011-05-31,419.4589
76,2011-05-31,17.1
77,2011-05-31,2039.994
78,2011-05-31,2024.994
79,2011-05-31,2024.994
80,2011-05-31,2624.382
81,2011-05-31,4293.924
82,2011-05-31,2936.2123
83,2011-05-31,2516.7534
84,2011-05-31,173.0424
85,2011-05-31,1103.6292
86,2011-05-31,40.373
87,2011-05-31,40.373
88,2011-05-31,1749.588
89,2011-05-31,20.746
90,2011-05-31,367.8764
91,2011-05-31,2624.382
92,2011-05-31,1258.3767
93,2011-05-31,838.9178
94,2011-05-31,551.8146
95,2011-05-31,838.9178
96,2011-05-31,838.9178
97,2011-05-31,367.8764
98,2011-05-31,28.8404
99,2011-05-31,838.9178
100,2011-05-31,1427.592
101,2011-05-31,5248.764
102,2011-05-31,1677.8356
103,2011-05-31,535.7424
104,2011-05-31,115.3616
105,2011-05-31,535.7424
106,2011-05-31,20.1865
107,2011-05-31,1070.694
108,2011-05-31,1258.3767
109,2011-05-31,714.7043
110,2011-05-31,5.7
111,2011-05-31,11.4
112,2011-05-31,4079.988
113,2011-05-31,2024.994
114,2011-05-31,2146.962
115,2011-05-31,57.6808
116,2011-05-31,874.794
117,2011-05-31,838.9178
118,2011-05-31,713.796
119,2011-05-31,838.9178
120,2011-05-31,1749.588
121,2011-05-31,838.9178
122,2011-05-31,28.8404
123,2011-05-31,20.1865
124,2011-05-31,20.1865
125,2011-05-31,34.2
126,2011-05-31,4049.988
127,2011-05-31,2039.994
128,2011-05-31,874.794
129,2011-05-31,86.5212
130,2011-05-31,183.9382
131,2011-05-31,838.9178
132,2011-05-31,419.4589
133,2011-05-31,357.1616
134,2011-05-31,838.9178
135,2011-05-31,5.1865
136,2011-05-31,40.373
137,2011-05-31,20.1865
138,2011-05-31,80.746
139,2011-05-31,2624.382
140,2011-05-31,1677.8356
141,2011-05-31,100.9325
142,2011-05-31,357.1616
143,2011-05-31,20.1865
144,2011-05-31,838.9178
145,2011-05-31,1749.588
146,2011-05-31,10.373
147,2011-05-31,874.794
148,2011-05-31,86.5212
149,2011-05-31,4049.988
150,2011-05-31,4049.988
151,2011-05-31,5.7
152,2011-05-31,6074.982
153,2011-05-31,22.8
154,2011-05-31,86.5212
155,2011-05-31,2146.962
156,2011-05-31,874.794
157,2011-05-31,419.4589
158,2011-05-31,40.373
159,2011-05-31,1677.8356
160,2011-05-31,838.9178
161,2011-05-31,419.4589
162,2011-05-31,25.9325
163,2011-05-31,20.1865
164,2011-05-31,874.794
165,2011-05-31,367.8764
166,2011-05-31,419.4589
167,2011-05-31,357.1616
168,2011-05-31,419.4589
169,2011-05-31,713.796
170,2011-05-31,1258.3767
171,2011-05-31,838.9178
172,2011-05-31,15.5595
173,2011-05-31,80.746
174,2011-05-31,367.8764
175,2011-05-31,874.794
176,2011-05-31,367.8764
177,2011-05-31,28.8404
178,2011-05-31,419.4589
179,2011-05-31,1749.588
180,2011-05-31,57.6808
181,2011-05-31,874.794
182,2011-05-31,874.794
183,2011-05-31,60.5595
184,2011-05-31,20.1865
185,2011-05-31,419.4589
186,2011-05-31,838.9178
187,2011-05-31,57.6808
188,2011-05-31,1258.3767
189,2011-05-31,1749.588
190,2011-05-31,357.1616
191,2011-05-31,80.746
192,2011-05-31,183.9382
193,2011-05-31,20.1865
194,2011-05-31,57.6808
195,2011-05-31,367.8764
196,2011-05-31,874.794
197,2011-05-31,419.4589
198,2011-05-31,4293.924
199,2011-05-31,40.373
200,2011-05-31,1258.3767
201,2011-05-31,15.5595
202,2011-05-31,419.4589
203,2011-05-31,173.0424
204,2011-05-31,2097.2945
205,2011-05-31,356.898
206,2011-05-31,20.1865
207,2011-05-31,183.9382
208,2011-05-31,40.373
209,2011-05-31,1258.3767
210,2011-05-31,367.8764
211,2011-05-31,2624.382
212,2011-05-31,419.4589
